"rowname","212198.fcs","212202.fcs","212204.fcs","212206.fcs","212219.fcs","212221.fcs","212223.fcs","212225.fcs","212227.fcs","212240.fcs","212242.fcs","212244.fcs","212246.fcs","212261.fcs","212263.fcs","212265.fcs","212267.fcs","212269.fcs","212282.fcs","212284.fcs","212286.fcs","212288.fcs","212290.fcs","213416.fcs","213418.fcs","213420.fcs","213422.fcs","213426.fcs","213428.fcs","213430.fcs","213432.fcs","213434.fcs","213436.fcs","213438.fcs","213440.fcs","213442.fcs","213444.fcs","213446.fcs","213448.fcs","213450.fcs","213452.fcs","213454.fcs","213456.fcs","213458.fcs","213460.fcs","213462.fcs","213464.fcs","214707.fcs","214709.fcs","214711.fcs","214713.fcs","214715.fcs","214717.fcs","214719.fcs","214721.fcs","214723.fcs","214725.fcs","214727.fcs","214729.fcs","214731.fcs","214733.fcs","214735.fcs","214737.fcs","214739.fcs","214741.fcs","214743.fcs","214745.fcs","214747.fcs","214749.fcs","214751.fcs","214753.fcs","214755.fcs","221690.fcs","221692.fcs","221694.fcs","221696.fcs","221698.fcs","221700.fcs","221702.fcs","221704.fcs","221706.fcs","221708.fcs","221710.fcs","221712.fcs","221714.fcs","221716.fcs","221718.fcs","221720.fcs","221722.fcs","221724.fcs","221726.fcs","221728.fcs","221730.fcs","221732.fcs","221734.fcs","221736.fcs","221738.fcs","222243.fcs","222247.fcs","222249.fcs","222251.fcs","222253.fcs","222255.fcs","222257.fcs","222259.fcs","222261.fcs","222263.fcs","222265.fcs","222267.fcs","222269.fcs","222271.fcs","222273.fcs","222275.fcs","222277.fcs","222279.fcs","222281.fcs","222283.fcs","222285.fcs","222287.fcs","222289.fcs","222291.fcs","223785.fcs","223787.fcs","223789.fcs","223791.fcs","223793.fcs","223795.fcs","223797.fcs","223799.fcs","223801.fcs","223803.fcs","223807.fcs","223809.fcs","223811.fcs","223815.fcs","223817.fcs","223819.fcs","223821.fcs","223823.fcs","223825.fcs","223827.fcs","223829.fcs","223831.fcs","223833.fcs","227295.fcs","227297.fcs","227299.fcs","227303.fcs","227305.fcs","227307.fcs","227311.fcs","227313.fcs","227317.fcs","227319.fcs","227321.fcs","227323.fcs","227325.fcs","227327.fcs","227329.fcs","227331.fcs","227333.fcs","227335.fcs","227339.fcs","227341.fcs","227343.fcs","228620.fcs","228622.fcs","228624.fcs","228626.fcs","228628.fcs","228630.fcs","228632.fcs","228634.fcs","228638.fcs","228640.fcs","228642.fcs","228646.fcs","228648.fcs","228650.fcs","228652.fcs","228654.fcs","228656.fcs","228658.fcs","228662.fcs","228664.fcs","228666.fcs","228668.fcs","230529.fcs","230531.fcs","230533.fcs","230537.fcs","230539.fcs","230541.fcs","230543.fcs","230545.fcs","230547.fcs","230549.fcs","230553.fcs","230555.fcs","230557.fcs","230559.fcs","230563.fcs","230565.fcs","230567.fcs","230569.fcs","230571.fcs","230573.fcs","230575.fcs","236579.fcs","236581.fcs","236583.fcs","236585.fcs","236587.fcs","236591.fcs","236593.fcs","236595.fcs","236597.fcs","236599.fcs","236601.fcs","236603.fcs","236605.fcs","236607.fcs","236609.fcs","236611.fcs","236613.fcs","236615.fcs","236617.fcs","236619.fcs","236621.fcs","236623.fcs","236625.fcs","236627.fcs","237639.fcs","237641.fcs","237643.fcs","237645.fcs","237647.fcs","237649.fcs","237651.fcs","237653.fcs","237655.fcs","237657.fcs","237661.fcs","237665.fcs","237667.fcs","237669.fcs","237671.fcs","237673.fcs","237677.fcs","237679.fcs","237681.fcs","237683.fcs","237685.fcs","237687.fcs","239385.fcs","239387.fcs","239389.fcs","239391.fcs","239393.fcs","239397.fcs","239399.fcs","239401.fcs","239405.fcs","239407.fcs","239409.fcs","239411.fcs","239413.fcs","239417.fcs","239419.fcs","239421.fcs","239423.fcs","239425.fcs","239427.fcs","239433.fcs","247879.fcs","247881.fcs","247883.fcs","247885.fcs","247887.fcs","247889.fcs","247891.fcs","247893.fcs","247895.fcs","247897.fcs","247899.fcs","247901.fcs","247903.fcs","247905.fcs","247907.fcs","247909.fcs","247911.fcs","247913.fcs","247915.fcs","247919.fcs","247921.fcs","247923.fcs","247927.fcs","249402.fcs","249404.fcs","249406.fcs","249408.fcs","249410.fcs","249412.fcs","249414.fcs","249416.fcs","249418.fcs","249420.fcs","249424.fcs","249426.fcs","249428.fcs","249430.fcs","249432.fcs","249434.fcs","249436.fcs","249438.fcs","249440.fcs","249442.fcs","249444.fcs","249446.fcs","249448.fcs","250853.fcs","250861.fcs","250863.fcs","250865.fcs","250867.fcs","250869.fcs","250871.fcs","250873.fcs","250875.fcs","250877.fcs","250879.fcs","250881.fcs","250883.fcs","250885.fcs","250887.fcs","250889.fcs","250891.fcs","250893.fcs","250901.fcs","252486.fcs","252488.fcs","252490.fcs"
"/Time/S/Live",240919,286556,213846,206088,228545,227373,221855,246977,253632,213849,235861,215546,260729,208346,232706,188889,180607,176023,198129,176152,208281,199040,226393,171977,125424,154708,182879,155426,176996,151101,188870,171762,124368,161181,187049,145233,161476,172772,136510,170505,190476,166185,127451,149281,146276,148543,152889,192445,189659,200306,203846,221647,188240,198447,187135,216651,209722,170608,193317,217027,196857,176000,183200,173539,182408,175491,195532,175506,174663,184648,152935,189544,119372,140891,142636,106016,107383,136070,100373,131245,136259,121777,167997,141541,146292,132750,129288,170796,125250,120571,117779,137037,87763,108733,87160,138175,126189,182287,207545,170748,143797,117891,153123,130539,54912,97177,48586,166943,158276,146906,156654,220115,191212,166449,209916,141039,211668,141478,140359,157237,197944,189328,194671,191503,145746,127851,137854,189322,198555,136407,123487,156461,143870,178041,156922,236672,148373,115387,164858,180315,139646,130719,145567,152780,223758,136532,143918,170186,199563,169141,186411,260342,192421,174039,194515,211617,127695,181955,182370,172663,191844,156872,150429,155705,181503,175429,173570,205621,163106,171465,186784,130544,142201,184439,177280,207388,152295,165255,162599,218871,163956,166528,194459,207108,232950,181234,193666,179407,148053,187314,98602,129669,102699,136680,197626,173923,181813,194439,150723,136647,183713,109500,53282,108477,77463,76786,93193,95295,190297,173335,125964,182592,137237,146432,172836,167217,187420,211432,195538,200773,206770,157229,19395,207213,152258,149816,146977,216620,183244,173128,173507,191174,140333,167335,164896,197105,71188,168317,152783,149099,158941,149586,139340,171600,112589,151381,171266,168904,156260,227636,156399,141829,150457,178755,224532,192854,144008,193327,237654,177410,162196,153700,149035,163121,204300,179131,161978,202716,185554,174197,157422,156669,210351,209941,158026,161295,161088,93681,193650,112116,118115,157702,155939,106181,169334,135325,195185,131247,158350,172517,159941,135557,172363,185713,195890,182714,193432,134156,137268,151700,151598,168504,114880,157566,160637,173804,178561,171817,153759,179610,188625,173851,151202,157028,169744,190232,183911,201803,200194,207314,197853,168630,174049,152553,192546,184253,149181,183816,190804,200728,190267,160917,188935,198381,168128,187651,160870,172583,184363,5499,27123,48006
"/Time/S/Live/14+",22333,24228,9741,17684,21953,28989,8836,15113,20149,30712,22721,12026,12870,16715,12489,12815,31094,11616,16867,7870,19408,17009,43875,16232,18770,16283,12764,23952,11935,12332,9654,11760,8661,11478,5807,15898,17346,11633,15549,10279,8601,8338,6841,13918,14783,7378,40193,21212,18343,45102,25731,23441,39795,15323,28770,25220,18329,35179,32037,24727,26751,23345,28394,19127,29815,25605,20466,36246,16381,27094,25745,53649,13953,5443,6413,11984,13715,22319,4913,13005,6630,8532,9909,23361,29720,20365,15906,13009,27353,7560,11101,16227,5449,10110,9250,19822,12608,14598,14887,13942,16042,17628,26117,17350,7626,8824,9215,17885,7254,20374,17567,22183,20007,15407,10464,19845,15027,13349,6464,21290,20751,16950,11242,17607,9961,13637,10372,12555,12977,11690,14144,4343,12078,36311,19795,26231,14272,6235,10301,10447,8107,5537,14481,15086,15834,15972,8435,11319,17696,10490,33207,19029,32623,24404,15491,24394,15198,29265,8940,12009,16932,10201,20906,8424,19468,36517,16884,19134,10326,21946,13443,8109,5918,10660,14850,19753,10472,11868,9244,14702,16755,5599,14865,32028,28527,10122,19242,12117,8205,15322,4583,18707,5626,10178,11252,14811,17611,11163,10269,6603,17105,13063,1943,13365,9722,7205,14991,11217,19387,17677,6031,5064,6085,12307,10933,4825,13293,13168,20662,16641,5854,24398,3758,11533,6933,17258,11042,16426,9337,8763,10236,19410,10675,15657,13150,11616,4460,18151,16289,8103,15681,9249,11187,6637,5175,11124,12555,6071,22013,24775,6407,16406,8942,16679,24497,11900,10810,13452,9938,13228,19945,8240,11544,7659,13848,5767,7188,10535,12096,19072,18077,17663,11889,20590,10880,24866,16197,11244,17930,8090,9344,14306,7657,15006,12144,9677,22078,9150,30704,18633,10909,14415,13672,16951,15192,22074,24540,9644,17470,9889,9525,10619,7282,12122,7663,9792,10551,13094,12619,23003,15961,8710,12276,9566,15017,13200,34878,11321,12888,23644,11833,20142,11493,9177,13196,16793,21440,16312,21053,17234,12856,24641,17956,12768,13025,12981,26766,26883,21700,369,1464,1637
"/Time/S/Live/14-/L",195819,229065,190024,169387,176414,174976,185787,206743,211829,157636,182002,180371,219154,167696,197814,159548,131645,151323,158134,156055,165921,154362,157185,129785,92109,126072,150542,116807,149264,125379,158961,143502,103154,135535,166192,115265,111290,138399,101232,138212,165455,141444,105362,122935,116918,119023,101780,155422,152382,132330,161900,174245,138324,166682,142219,165316,172430,117798,141872,167601,153384,130268,138188,140517,134501,131422,158040,125753,143181,136477,114664,120285,100514,127470,128474,86102,89134,106417,90941,108330,122197,105618,149216,110853,109440,104552,106005,148846,91026,105328,101667,113141,78248,92925,72757,110187,106812,160090,160484,143910,117594,94110,116838,106494,42633,82864,36892,141429,144380,116545,132211,185432,158245,143099,177785,114666,188012,120731,125353,127812,163779,162999,157786,161174,127456,98014,118394,163003,170366,114195,101053,140084,122685,131235,129481,198059,120038,102899,147561,160752,124186,117016,123835,129238,196219,106729,123903,145413,165701,142773,139515,218745,144563,141156,166451,175672,104308,141793,164716,152854,165593,133807,119385,137616,151606,125018,145625,170866,143288,132644,161312,113463,128102,164695,153707,178385,131387,144057,141937,189844,133695,149613,167688,163938,193395,158201,163083,152914,127390,156904,88077,102851,85607,114482,173762,148735,149909,170915,126226,124021,149481,89912,49221,88970,61678,66047,72419,78362,158158,138926,112380,166046,124285,124442,145697,155060,160164,182651,160747,171773,186682,119844,14574,179529,134944,113804,126198,185279,161848,153957,152589,158084,121144,140688,141799,173219,62088,133128,125641,130655,132419,130497,120867,155797,102701,131535,148226,150336,124877,190866,141178,116392,132616,151894,183176,168080,116396,163024,185990,151415,130854,136071,126693,142841,176440,162470,142774,178786,157086,144661,128427,127979,185829,176640,133194,129292,136672,77653,163133,93242,102995,134778,141430,82289,141869,117415,160979,115477,118438,141829,139732,110329,144060,157364,172789,147739,155772,116136,107294,132439,131014,145396,97351,124594,143178,154543,159474,150206,129982,147544,158834,154730,131780,137380,143544,160102,139537,180209,176668,169717,176175,138473,150714,133673,169218,148745,119648,157242,157935,172233,166179,124294,157698,171510,144593,162191,124258,131765,149909,2373,22508,37641
"/Time/S/Live/14-/L/3-19+",36862,28018,15517,22112,11708,25836,13005,16769,25231,25959,23625,22002,15051,16499,17762,14185,16199,10861,15312,7749,11981,17841,11346,11941,11965,8897,10538,11408,16227,7897,16964,13493,5825,13700,13813,12574,10519,29115,12945,11735,12649,16071,7938,6216,7371,14553,6191,10966,5627,11681,6743,14904,4528,7034,11056,5963,12688,5977,20262,12650,16447,14410,10453,8590,10964,12310,11564,6042,8178,13523,6997,10215,6985,13138,13556,10298,8012,10510,6175,11669,7197,6018,11309,11783,7395,10100,10073,15434,7197,10939,9194,13946,5414,2457,6147,10396,6749,13954,18544,19305,14947,9173,16986,10072,7270,10326,3162,13138,14633,11228,9358,19596,19798,15645,14025,14078,17324,8219,7369,14395,9358,16762,10901,19466,12614,11308,8268,7347,10887,6778,10375,12238,8843,15172,9195,27631,16357,8200,6629,8521,10312,10415,9486,7415,18261,9215,7785,9388,16874,11914,18685,19667,18022,13637,17473,19644,8140,22840,13935,14008,17606,8188,11593,9712,9183,13741,10210,21604,11401,14937,8013,7735,8543,18470,9426,17361,11630,8399,10277,12967,13750,10398,13606,22333,21202,12003,11158,20360,10685,16745,4786,7086,4490,7141,13423,6928,7584,11222,12669,6777,8942,7645,2865,8868,5844,4942,9329,5307,12280,12432,9304,20634,9246,14912,8645,7528,15990,10269,19543,15489,12559,11339,712,17492,16697,11491,5679,19001,12045,12935,19456,11252,10275,9534,12195,13587,4985,28720,11861,8770,16343,8714,6061,10027,5675,9261,12210,12236,11520,16544,7618,12399,18514,9400,18453,12472,11860,10046,9780,13636,9266,8574,8891,13455,12131,6996,6261,12476,11457,14824,11332,9073,12505,10456,8378,13987,19783,6367,14725,7306,6903,18014,9596,7633,15255,14133,10266,7178,8734,15285,13934,10442,14690,11968,18969,15260,10675,11067,10972,12103,13441,11793,7626,6587,10684,14338,13709,11077,11255,12140,15624,12340,14186,25738,12175,13707,9386,19690,19641,11503,15384,12052,21562,13630,8416,11030,5096,23151,13719,13179,13452,11091,15974,20801,15082,12904,9515,15702,10024,593,4405,1916
"/Time/S/Live/14-/L/3-19-",19885,36008,20113,32033,26636,24453,20156,35049,17847,17847,23419,40958,31780,22138,34613,17967,20472,21023,23193,10641,27274,22826,21507,29475,16815,7441,19373,11353,13162,15812,20092,23287,20518,20078,9469,18810,26931,13847,16811,29982,24257,19404,17071,21708,22056,28748,7003,16903,7802,12581,7745,37386,11492,6881,7608,11100,14631,19945,14108,15096,8502,13147,13031,6836,13131,13314,28988,28275,11450,2974,11233,11716,12698,23800,23898,17663,12719,14783,10399,23905,14506,33201,42563,21100,13755,14567,21242,21137,18263,7309,10900,23036,10788,25921,12106,16054,9913,18513,48936,21666,23324,10573,15352,10400,8558,14698,7253,11148,15853,20381,14863,26270,25414,24258,30282,12627,23135,21186,17612,22415,14871,21247,43120,21711,22679,29468,22855,61113,49760,24455,14987,35527,22004,21874,15690,23952,22357,22871,10996,17205,13287,10643,26748,10840,28689,25037,17026,29412,58814,17809,29403,94372,29148,18838,51319,21536,28466,10980,13495,20858,17129,36955,24075,28491,13540,15814,24369,16936,22202,24520,21245,22121,33361,12157,19568,30935,19444,44547,15609,48422,28258,35242,21251,23901,17155,36986,14100,27769,15520,32722,24800,25785,22902,36573,25047,25728,39748,42752,16675,11887,39070,22394,6391,18908,15390,8881,14591,7648,26744,28074,13738,15005,22989,30403,43276,14866,31924,47203,20670,31364,29841,13474,2256,13851,20887,20508,13321,24190,25905,13265,21062,13537,23854,26696,17897,31728,8554,18565,20667,25762,24562,25238,19321,31375,10745,34314,25461,15026,16198,24241,25563,10723,7218,12708,24043,35000,29710,40468,47876,43152,22654,21036,25997,23269,25646,24389,26064,27200,20639,21191,23802,24971,23540,14762,16985,11828,16556,14326,25294,18498,21142,15997,9088,12507,16585,13493,24800,20719,22090,20995,32664,17864,29435,32960,26891,22634,14604,14890,26310,20507,31515,16395,13202,36709,30226,27309,8707,13168,27281,12045,42968,15615,14717,7588,9988,41703,28145,21731,22295,13798,24145,39913,10789,24510,20496,34950,19209,16816,29525,26694,9923,13201,23723,32745,14065,24082,19371,15982,12683,155,3632,16762
"/Time/S/Live/14-/L/3-19-/NK Cells",15532,31390,17608,29301,21669,21274,16656,23387,14348,10628,16088,36022,21470,17406,30519,14208,16561,17980,17741,7619,22753,17753,5559,19036,13051,2799,14097,8298,10967,13420,10219,17932,16487,16560,5408,15819,17799,6268,10997,24588,21232,16688,12445,19470,19198,22360,4586,10576,4249,7435,4871,27935,9953,4803,4743,3841,11701,15077,9342,11823,5205,10851,7027,4579,6533,10122,26651,25336,9322,642,8468,5189,6179,18910,20141,10216,10065,11064,8210,18273,9439,25380,39912,13490,7117,8096,15877,16957,13275,4699,8854,15958,6521,21875,9280,11235,7750,12548,20023,7861,15042,8108,8705,4750,5970,9443,5612,7777,11639,11372,10789,20035,11688,18835,10542,8023,19131,16088,7501,16695,11577,12387,13208,10478,19809,9765,12889,41241,40261,14487,7457,31454,11931,15056,12002,13175,10934,20505,7919,15857,9167,5128,21312,9053,16372,2231,11504,19253,45627,13250,20382,23369,20272,12167,45740,11711,18453,3793,8556,19158,13245,9992,18248,20877,10361,8570,18223,9810,19385,10768,16960,12542,26010,7902,12731,27947,13310,30368,8510,42650,24002,24953,16804,16898,11926,32017,11305,23224,8222,19898,21028,21168,19554,30394,16443,18964,31406,35339,11144,9880,24960,15976,5822,13514,6512,7458,6087,5977,21332,21410,9007,10572,19810,19308,24868,12014,18645,21381,15448,4120,23193,8530,1607,6293,15955,10479,8120,18959,20747,7396,16900,10591,18730,14494,12742,22236,4761,10981,8049,15549,20759,19167,13739,27326,9093,30602,15708,10530,11054,17354,20965,5682,3638,9919,18121,31106,12155,25527,13232,37932,12484,16045,20561,17428,20077,17678,19356,15743,13392,14854,15938,10735,16078,11217,12505,5425,13719,13323,20361,15066,18114,11676,5348,6880,11037,9467,18603,15918,16663,8018,30244,10526,17910,29857,23046,16418,12028,10675,21091,11281,23852,10345,5640,14609,27051,20445,5683,8645,19352,7933,33219,11823,12269,4544,6010,32967,21001,17152,12720,11125,20537,36254,7798,20298,16686,16666,13698,12480,24737,23275,7981,10097,19106,22493,8655,19078,14261,5334,10732,68,2676,3260
"/Time/S/Live/Cells/14-19-/16-56-/3-HLADR+",1965,1971,2119,2289,3072,1851,2215,1847,2376,3074,3504,1270,1934,1592,1653,1255,2532,1510,2271,815,1783,1894,10273,2328,1049,1322,1994,1340,2429,1337,1648,2005,890,1960,1137,1302,1465,2765,3772,1322,1142,1327,1327,1114,1686,1203,1925,1715,2686,3326,1795,5453,1093,1918,2027,6252,1710,3020,3215,1639,2503,1326,4128,1859,3535,2086,1586,1728,1538,1966,1677,4073,928,1131,534,1014,716,1426,485,998,845,540,696,1171,1839,872,865,982,1229,905,628,1178,275,818,504,513,819,776,1599,873,1019,1463,1825,1791,581,727,675,730,1044,1789,1232,1108,1312,914,1279,1116,787,1041,505,1286,1389,1225,988,1109,624,625,691,1011,2114,902,730,640,701,1705,809,1168,1314,1165,1068,1034,799,868,1327,1005,1384,1919,1400,1490,1996,1210,3864,2251,1736,1835,1714,2604,1393,1626,970,930,1166,876,1724,1884,1672,3671,2576,3020,595,2097,2047,920,715,1545,1302,1709,1596,1438,2277,980,2630,1393,1397,2402,1135,1902,1831,1878,1230,1894,812,1338,488,547,1127,1254,1658,1928,1149,711,1329,1145,312,876,1058,854,1057,900,1437,2487,922,1266,1075,2035,1588,1397,2135,1413,2019,1164,1168,2775,264,2216,1313,2737,1331,2535,1629,1776,1241,1942,1159,846,1075,1151,773,1981,2017,802,1212,486,2386,1796,537,1300,823,894,1885,2032,1681,958,936,1176,2612,1183,1380,2564,1703,1686,1723,1163,897,1180,1134,906,1159,1307,1103,1740,1727,1264,1123,1578,1146,1401,1025,555,2110,800,735,1291,1111,1961,1203,1267,1886,936,1664,1559,1007,1162,1468,888,1879,1482,1304,989,1223,1050,1344,1085,711,1813,1126,1412,1373,1115,920,1425,1420,1152,809,1164,598,1400,1601,1243,669,1444,1180,1671,1060,1348,844,1419,809,1751,1522,1719,1458,1635,1501,1574,798,1888,1307,2267,1276,87,634,552
"/Time/S/Live/Cells/14-19-/16-56-/3-HLADR+/123+",433,627,663,709,1118,531,414,263,419,1510,144,193,768,510,390,213,469,669,684,166,582,333,798,343,178,370,755,230,1079,353,531,454,229,674,64,211,243,727,296,429,227,344,267,358,583,231,553,455,497,867,721,1227,516,512,671,1282,367,1771,596,391,761,363,685,682,350,845,628,772,423,297,511,776,491,375,143,365,216,383,79,292,196,182,267,340,746,359,259,413,620,172,225,206,34,184,152,93,207,139,346,262,281,822,840,704,204,321,367,351,255,277,690,471,423,259,554,540,399,423,142,445,421,499,218,430,206,13,183,559,777,337,176,358,162,613,234,382,466,194,530,274,205,267,511,283,401,384,435,502,916,277,987,518,581,548,544,854,642,697,246,157,298,134,775,448,533,2244,1449,392,131,741,1209,272,127,417,458,551,245,598,1354,333,437,575,478,712,246,918,588,864,483,467,376,507,67,87,232,405,467,481,529,208,445,357,55,218,465,292,105,266,317,743,264,333,366,545,418,472,234,581,746,292,313,1519,130,292,234,706,264,1385,524,505,397,549,447,225,252,247,221,419,281,120,349,96,176,556,185,609,315,174,423,306,1005,64,195,237,298,423,276,751,253,433,629,242,300,234,380,241,683,260,83,600,327,224,269,367,125,511,232,66,852,308,239,457,326,184,242,276,703,379,492,626,176,227,738,199,379,417,368,289,321,244,209,218,117,515,471,590,343,173,268,340,622,135,164,289,111,469,665,366,132,410,349,449,334,554,350,554,289,473,213,478,393,226,183,459,241,731,273,622,279,29,80,39
"/Time/S/Live/Cells/14-19-/16-56-/3-HLADR+/11c+",674,605,691,847,1111,576,414,564,804,701,864,256,557,335,353,546,1180,374,755,206,659,372,8725,1100,389,347,607,396,567,331,549,722,297,564,140,528,530,810,2487,426,282,479,562,374,505,287,878,1037,1594,1955,745,3342,344,927,866,4500,957,616,1123,864,895,605,2963,876,2591,731,612,636,843,1002,876,2448,209,473,118,322,213,273,112,354,166,186,258,539,647,167,276,218,282,290,137,196,54,370,198,111,454,249,512,190,184,304,483,473,118,115,147,143,464,607,166,353,250,224,260,211,152,352,196,411,755,263,337,239,172,249,150,211,747,287,207,68,175,585,259,375,241,262,308,190,63,299,519,558,323,390,380,379,210,252,394,401,381,490,439,989,325,391,160,400,404,245,556,216,889,700,530,777,130,565,436,353,198,322,363,620,227,392,361,163,472,119,230,1229,366,467,937,410,246,753,140,382,98,146,349,441,762,628,239,167,245,413,118,307,93,205,345,456,426,800,203,194,225,270,353,432,421,357,618,387,292,622,41,864,287,571,405,480,473,581,313,1040,383,300,495,318,275,534,399,121,246,132,235,506,145,280,217,194,597,150,221,272,154,633,905,451,405,783,509,482,439,463,354,360,365,208,115,312,359,477,504,281,459,832,277,373,248,122,576,178,224,368,219,106,378,443,643,152,608,232,358,518,257,351,500,457,679,385,267,194,496,395,165,343,269,291,139,229,163,414,323,417,171,207,101,484,376,256,122,711,372,473,301,189,206,272,299,562,519,465,336,538,495,260,205,449,383,325,659,15,44,48
"/Time/S/Live/14-/L/3+19-",138739,164667,154179,115044,137910,124372,152482,154758,168340,113512,134679,117221,172119,128818,145238,127224,94778,119372,119338,137582,126516,113458,123931,88192,63114,109624,120495,93877,119300,101589,121756,106610,76731,101534,142583,83790,73462,95073,71351,96279,128381,105778,80284,94903,87357,75639,88517,127325,138791,107873,147302,121660,122254,152585,123441,147547,144899,91787,107301,139559,128219,102281,114566,124951,110127,105647,117372,91317,123467,119345,96336,98164,80659,90184,90772,57880,68098,80778,74145,72533,100191,66261,95075,77485,88165,79544,74477,111873,65406,86855,81377,75955,61915,64379,54380,83557,90012,127233,92705,102460,79059,74099,84050,85770,26629,57691,26395,116819,113283,84591,107724,138988,112289,102904,132999,87404,147034,90993,100187,90398,139275,124488,103456,119303,91844,56848,86926,94177,109122,82704,75403,92046,91406,93712,104134,145820,80533,71581,128991,134460,100247,95346,87251,110766,148943,72249,98879,106453,89825,112681,90981,104454,96996,108410,97460,134238,67509,107429,137003,117749,130553,88539,83574,99261,128740,95197,110761,131814,109406,92881,131890,83473,86010,133550,124482,129658,100070,90948,115824,128216,91483,103677,132535,117283,154439,108968,137618,104335,100934,107211,58400,69906,58117,70616,135001,115944,102445,116527,96585,105155,101325,59729,39900,61083,40385,51963,48393,65337,118909,98206,89170,129994,91909,78900,93675,132529,111999,124931,120132,124670,144110,94841,11581,147785,97090,81606,106990,141768,123679,127490,111794,133078,86798,104256,111431,127657,48412,85257,92847,96026,91120,96332,95333,114177,86155,87751,110315,122814,96878,149696,107859,93034,106574,129640,140373,120324,74645,112335,128126,94395,98718,106255,91609,105815,138340,130831,110324,138885,124717,108402,93116,93688,149518,151286,107631,103269,99889,56774,122885,67265,74863,100492,122562,61991,109651,89390,125665,87486,87449,105090,92707,81842,99563,112184,126537,109333,130288,89778,69795,99661,85864,116987,76324,81137,102045,112629,136666,125751,91288,123111,100008,126524,102697,103680,121005,104448,101778,138251,134253,144215,136364,86290,117935,95253,140142,102552,95226,116942,114476,132076,142555,99882,117670,117628,115205,124960,95162,99832,127040,1618,14443,18933
